# Complex refractive index of liquid water, n(lambda) + i k(lambda), 0.65-15.6 um.
#
# source: Segelstein, D. J. (1981), "The Complex Refractive Index of Water", M.S. thesis,
#   University of Missouri-Kansas City. Table retrieved 2026-09-14 from
#   https://omlc.org/spectra/water/data/segelstein81_index.txt (Oregon Medical Laser Center),
#   truncated to the 0.65-15.6 um range this project uses and otherwise unmodified.
#
# EXTENDED 2026-09-15 from 2.0 um down to 0.65 um, re-truncated from the same download.
# The reason is concrete: a maritime scene in SWIR or NIR needs water's Fresnel reflectance
# over 0.7-1.8 um, and the loader **refuses to extrapolate** an n/k table rather than invent
# optical constants -- so a ship render in those bands failed outright until this range
# existed. The 365 rows at and above 2.0 um are **byte-identical** to the previous file, which
# is the check that this is the same table and not a second compilation stitched onto the
# first.
#
# What the new range means for the sea. Reflectance there is set by n alone: k runs from
# 1.6e-7 at 0.75 um to 3.6e-4 at the 1.45 um band, and at those values the absorption term in
# Fresnel's equations changes R by less than 1e-6. n itself moves only from 1.3272 to 1.3034
# across 0.75-1.80 um, so normal-incidence reflectance varies between 0.0201 and 0.0192 -- the
# sea is a dark, strongly angle-dependent mirror in every reflective band, exactly as it is in
# the visible, and the grazing-angle behaviour the maritime lane cares about is unchanged.
#
# STATUS: MEASURED (a published compilation, not authored here).
#
# Why Segelstein and not Hale & Querry 1973, which docs/physics-model.md section 4.2 quotes:
# Segelstein tabulates n AND k across the whole infrared in one self-consistent
# Kramers-Kronig-analysed dataset, and is downloadable in full. Hale & Querry's n is not freely
# available as a table; only its absorption coefficient is. Mixing n from one compilation with k
# from another is worse practice than using one whole.
#
# The two disagree on n at 10 um: Segelstein 1.1932, Hale & Querry 1.218 (a 2 % difference). Their
# k agrees to 0.02 % (0.05079 vs 0.0508). The consequence for this project is small and bounded:
# normal-incidence emissivity is 0.9917 from Segelstein against 0.9898 from Hale & Querry, a
# difference of 0.002, which is five times below the 0.01 tolerance MM.1 holds the band-effective
# sea emissivity to against published sea-surface tables. See ADR 0079.
#
# Note on sea water: this is FRESH water. Salinity raises k slightly in the LWIR and lowers
# emissivity by well under 0.01; ADR 0079 records the bound. Do not read this file as a
# salinity-corrected sea-water table.
#
# Columns: wavelength in MICROMETRES (increasing), real index n, extinction coefficient k.
wavelength_um,n,k
1.4390,1.313220,3.629000e-04
1.4490,1.313055,3.637000e-04
1.4590,1.312888,3.604000e-04
1.4690,1.312715,3.387000e-04
1.4790,1.312525,3.018000e-04
1.4890,1.312318,2.659000e-04
1.5000,1.312093,2.248000e-04
1.5100,1.311852,1.958000e-04
1.5210,1.311604,1.741000e-04
1.5310,1.311352,1.602000e-04
1.5420,1.311097,1.441000e-04
1.5490,1.310923,1.348000e-04
1.5600,1.310659,1.240000e-04
1.5700,1.310387,1.140000e-04
1.5810,1.310114,1.071000e-04
1.5890,1.309928,9.940000e-05
1.6000,1.309642,9.347000e-05
1.6110,1.309352,8.804000e-05
1.6220,1.309055,8.310000e-05
1.6290,1.308855,8.096000e-05
1.6410,1.308548,7.903000e-05
1.6480,1.308341,7.591000e-05
1.6600,1.308021,7.398000e-05
1.6710,1.307672,7.404000e-05
1.6790,1.307435,7.495000e-05
1.6900,1.307073,7.601000e-05
1.6980,1.306829,7.743000e-05
1.7100,1.306453,8.050000e-05
1.7220,1.306070,8.410000e-05
1.7300,1.305809,8.900000e-05
1.7420,1.305413,9.510000e-05
1.7500,1.305142,1.000000e-04
1.7620,1.304727,1.051000e-04
1.7700,1.304442,1.120000e-04
1.7780,1.304155,1.219000e-04
1.7910,1.303718,1.330000e-04
1.7990,1.303418,1.359000e-04
1.8110,1.302947,1.371000e-04
1.8200,1.302616,1.380000e-04
1.8280,1.302269,1.418000e-04
1.8410,1.301709,1.552000e-04
1.8490,1.301291,1.861000e-04
1.8620,1.300633,3.205000e-04
1.8710,1.300214,5.209000e-04
1.8790,1.299860,7.224000e-04
1.8880,1.299545,9.221000e-04
1.9010,1.298998,1.161000e-03
1.9100,1.298791,1.678000e-03
1.9190,1.298793,1.827000e-03
1.9320,1.298681,1.922000e-03
1.9410,1.298590,1.909000e-03
1.9500,1.298472,1.848000e-03
1.9590,1.298308,1.717000e-03
1.9680,1.298051,1.548000e-03
1.9820,1.297607,1.402000e-03
1.9910,1.297292,1.250000e-03
2.0000,1.296913,1.101000e-03
2.0090,1.296499,9.904000e-04
2.0180,1.296066,8.888000e-04
2.0280,1.295606,8.050000e-04
2.0420,1.294919,7.392000e-04
2.0510,1.294457,6.742000e-04
2.0610,1.293973,6.206000e-04
2.0700,1.293476,5.725000e-04
2.0800,1.292966,5.294000e-04
2.0890,1.292438,4.884000e-04
2.0990,1.291899,4.643000e-04
2.1090,1.291353,4.403000e-04
2.1180,1.290795,4.176000e-04
2.1280,1.290221,3.970000e-04
2.1380,1.289634,3.826000e-04
2.1480,1.289033,3.705000e-04
2.1580,1.288418,3.587000e-04
2.1680,1.287787,3.506000e-04
2.1780,1.287139,3.434000e-04
2.1880,1.286474,3.395000e-04
2.1980,1.285790,3.379000e-04
2.2080,1.285087,3.387000e-04
2.2180,1.284365,3.410000e-04
2.2280,1.283619,3.458000e-04
2.2390,1.282852,3.571000e-04
2.2490,1.282064,3.739000e-04
2.2590,1.281256,3.898000e-04
2.2700,1.280421,4.081000e-04
2.2800,1.279561,4.293000e-04
2.2910,1.278675,4.506000e-04
2.3010,1.277755,4.686000e-04
2.3120,1.276797,4.918000e-04
2.3170,1.276305,5.114000e-04
2.3280,1.275295,5.430000e-04
2.3390,1.274257,5.995000e-04
2.3500,1.273184,6.365000e-04
2.3600,1.272062,6.852000e-04
2.3710,1.270902,7.427000e-04
2.3820,1.269682,7.921000e-04
2.3880,1.269059,8.488000e-04
2.3990,1.267787,9.095000e-04
2.4100,1.266450,9.904000e-04
2.4210,1.265059,1.071000e-03
2.4320,1.263577,1.150000e-03
2.4380,1.262824,1.250000e-03
2.4490,1.261297,1.348000e-03
2.4600,1.259683,1.472000e-03
2.4720,1.257969,1.580000e-03
2.4770,1.257102,1.709000e-03
2.4890,1.255347,1.810000e-03
2.5000,1.253465,1.900000e-03
2.5120,1.251445,1.953000e-03
2.5180,1.250383,1.990000e-03
2.5290,1.248127,2.017000e-03
2.5410,1.245672,2.069000e-03
2.5530,1.243014,2.142000e-03
2.5640,1.240167,2.269000e-03
2.5700,1.238670,2.311000e-03
2.5760,1.237089,2.338000e-03
2.5820,1.235426,2.387000e-03
2.5880,1.233679,2.425000e-03
2.5940,1.231834,2.476000e-03
2.6060,1.227769,2.575000e-03
2.6120,1.225483,2.703000e-03
2.6180,1.223082,2.977000e-03
2.6240,1.220535,3.302000e-03
2.6300,1.218078,4.016000e-03
2.6360,1.215699,4.363000e-03
2.6490,1.209954,4.828000e-03
2.6550,1.206519,5.368000e-03
2.6610,1.202951,6.278000e-03
2.6670,1.199289,7.325000e-03
2.6730,1.195340,8.547000e-03
2.6790,1.191390,1.049000e-02
2.6850,1.188087,1.270000e-02
2.6980,1.179962,1.451000e-02
2.7040,1.174582,1.640000e-02
2.7100,1.168874,1.861000e-02
2.7160,1.160993,2.050000e-02
2.7230,1.152876,2.817000e-02
2.7290,1.149520,3.800000e-02
2.7420,1.142068,4.622000e-02
2.7480,1.136183,5.480000e-02
2.7540,1.132860,6.483000e-02
2.7610,1.131711,7.444000e-02
2.7670,1.132778,8.352000e-02
2.7800,1.130913,9.285000e-02
2.7860,1.127959,1.020000e-01
2.7930,1.127558,1.119000e-01
2.7990,1.129478,1.210000e-01
2.8120,1.128413,1.312000e-01
2.8180,1.125532,1.422000e-01
2.8250,1.125351,1.541000e-01
2.8310,1.127523,1.670000e-01
2.8380,1.133346,1.798000e-01
2.8510,1.142386,1.940000e-01
2.8580,1.145545,2.060000e-01
2.8640,1.152284,2.182000e-01
2.8710,1.162372,2.290000e-01
2.8840,1.178446,2.392000e-01
2.8910,1.185419,2.493000e-01
2.8970,1.195889,2.581000e-01
2.9040,1.208002,2.647000e-01
2.9170,1.229654,2.715000e-01
2.9240,1.240033,2.759000e-01
2.9310,1.252073,2.798000e-01
2.9380,1.263935,2.804000e-01
2.9510,1.285942,2.824000e-01
2.9580,1.297762,2.817000e-01
2.9650,1.307891,2.785000e-01
2.9790,1.326310,2.759000e-01
2.9850,1.334533,2.721000e-01
2.9990,1.352917,2.721000e-01
3.0480,1.411876,2.398000e-01
3.0970,1.452013,1.918000e-01
3.1480,1.466753,1.348000e-01
3.1990,1.461522,9.243000e-02
3.2510,1.449409,6.106000e-02
3.3040,1.432585,3.688000e-02
3.3500,1.417064,2.611000e-02
3.3960,1.404875,1.949000e-02
3.4510,1.393260,1.321000e-02
3.4990,1.384213,9.393000e-03
3.5480,1.376092,6.789000e-03
3.5970,1.368863,5.150000e-03
3.6480,1.362546,4.234000e-03
3.6980,1.356937,3.596000e-03
3.7500,1.351891,3.402000e-03
3.8020,1.347393,3.402000e-03
3.8460,1.343958,3.530000e-03
3.8990,1.340174,3.800000e-03
3.9540,1.336658,4.157000e-03
3.9990,1.333929,4.600000e-03
4.0460,1.331403,5.067000e-03
4.1020,1.328504,5.621000e-03
4.1500,1.326183,6.220000e-03
4.1980,1.323997,6.883000e-03
4.2460,1.321906,7.600000e-03
4.2950,1.319948,8.449000e-03
4.3450,1.318113,9.307000e-03
4.3950,1.316398,1.030000e-02
4.4460,1.314920,1.140000e-02
4.4980,1.313587,1.238000e-02
4.5500,1.312483,1.361000e-02
4.6030,1.311785,1.472000e-02
4.6450,1.311588,1.548000e-02
4.6990,1.311451,1.570000e-02
4.7530,1.311148,1.552000e-02
4.7970,1.310657,1.499000e-02
4.8530,1.309721,1.441000e-02
4.8980,1.308720,1.370000e-02
4.9550,1.307228,1.312000e-02
5.0000,1.305885,1.241000e-02
5.0470,1.304258,1.180000e-02
5.1050,1.301965,1.111000e-02
5.1520,1.299910,1.061000e-02
5.2000,1.297550,1.011000e-02
5.2480,1.294933,9.904000e-03
5.2970,1.292117,9.790000e-03
5.3460,1.289015,9.881000e-03
5.3950,1.285729,1.030000e-02
5.4450,1.282194,1.078000e-02
5.4950,1.278291,1.158000e-02
5.5460,1.273883,1.258000e-02
5.5980,1.268802,1.418000e-02
5.6490,1.262994,1.659000e-02
5.7020,1.256584,2.031000e-02
5.7540,1.248370,2.482000e-02
5.7940,1.242239,3.295000e-02
5.8480,1.234896,4.323000e-02
5.9020,1.229289,6.220000e-02
5.9570,1.231892,8.646000e-02
5.9980,1.242862,1.069000e-01
6.0530,1.268459,1.250000e-01
6.0950,1.295314,1.309000e-01
6.1520,1.330121,1.172000e-01
6.1940,1.341605,8.786000e-02
6.2520,1.339863,6.947000e-02
6.2950,1.335754,5.699000e-02
6.3530,1.329242,4.952000e-02
6.3970,1.325038,4.485000e-02
6.4570,1.320468,4.176000e-02
6.5010,1.317726,3.925000e-02
6.5460,1.314837,3.731000e-02
6.6070,1.311404,3.563000e-02
6.6530,1.309021,3.450000e-02
6.6990,1.306716,3.371000e-02
6.7450,1.304521,3.310000e-02
6.8080,1.301901,3.272000e-02
6.8550,1.300125,3.242000e-02
6.9020,1.298382,3.220000e-02
6.9500,1.296751,3.212000e-02
6.9980,1.295193,3.197000e-02
7.0470,1.293609,3.190000e-02
7.0960,1.292093,3.197000e-02
7.1450,1.290696,3.205000e-02
7.1940,1.289296,3.205000e-02
7.2440,1.287944,3.220000e-02
7.2950,1.286624,3.220000e-02
7.3450,1.285242,3.227000e-02
7.3960,1.283912,3.242000e-02
7.4470,1.282606,3.249000e-02
7.4990,1.281248,3.257000e-02
7.5510,1.279895,3.272000e-02
7.6030,1.278508,3.279000e-02
7.6560,1.277123,3.302000e-02
7.6910,1.276220,3.310000e-02
7.7450,1.274794,3.325000e-02
7.7980,1.273363,3.348000e-02
7.8520,1.271952,3.371000e-02
7.9070,1.270543,3.395000e-02
7.9430,1.269613,3.410000e-02
7.9980,1.268163,3.426000e-02
8.0540,1.266657,3.450000e-02
8.0910,1.265652,3.466000e-02
8.1470,1.264125,3.490000e-02
8.2040,1.262564,3.514000e-02
8.2410,1.261488,3.530000e-02
8.2990,1.259903,3.563000e-02
8.3560,1.258240,3.579000e-02
8.3950,1.257072,3.604000e-02
8.4530,1.255384,3.637000e-02
8.4920,1.254220,3.654000e-02
8.5510,1.252405,3.688000e-02
8.5900,1.251193,3.714000e-02
8.6500,1.249353,3.748000e-02
8.7100,1.247433,3.783000e-02
8.7500,1.246095,3.809000e-02
8.7900,1.244791,3.844000e-02
8.8510,1.242789,3.880000e-02
8.8920,1.241424,3.916000e-02
8.9540,1.239322,3.952000e-02
8.9950,1.237862,3.988000e-02
9.0570,1.235657,4.035000e-02
9.0990,1.234142,4.072000e-02
9.1410,1.232659,4.110000e-02
9.2040,1.230259,4.148000e-02
9.2470,1.228589,4.196000e-02
9.2900,1.226967,4.234000e-02
9.3540,1.224439,4.293000e-02
9.3970,1.222699,4.333000e-02
9.4410,1.220909,4.373000e-02
9.5060,1.218113,4.434000e-02
9.5500,1.216115,4.475000e-02
9.5940,1.214136,4.537000e-02
9.6610,1.211068,4.600000e-02
9.7050,1.208909,4.664000e-02
9.7500,1.206729,4.718000e-02
9.7950,1.204471,4.784000e-02
9.8400,1.202228,4.851000e-02
9.9080,1.198600,4.929000e-02
9.9540,1.195932,4.998000e-02
10.0000,1.193164,5.079000e-02
10.0500,1.190334,5.174000e-02
10.0900,1.187365,5.270000e-02
10.1400,1.183900,5.380000e-02
10.2100,1.180893,5.805000e-02
10.2600,1.178360,5.634000e-02
10.3000,1.174182,5.845000e-02
10.3500,1.170827,5.995000e-02
10.4000,1.167354,6.191000e-02
10.4500,1.163960,6.394000e-02
10.5000,1.160584,6.619000e-02
10.5400,1.157248,6.852000e-02
10.5900,1.153843,7.092000e-02
10.6400,1.150368,7.359000e-02
10.6900,1.146959,7.652000e-02
10.7400,1.143601,7.958000e-02
10.7900,1.140345,8.294000e-02
10.8400,1.137372,8.646000e-02
10.8900,1.134419,8.970000e-02
10.9400,1.131445,9.328000e-02
10.9900,1.128640,9.678000e-02
11.0400,1.125466,9.995000e-02
11.0900,1.122010,1.039000e-01
11.1400,1.118841,1.083000e-01
11.1900,1.116059,1.129000e-01
11.2500,1.113289,1.172000e-01
11.3000,1.110334,1.218000e-01
11.3500,1.107674,1.270000e-01
11.4000,1.105361,1.321000e-01
11.4600,1.103057,1.370000e-01
11.5100,1.100705,1.422000e-01
11.5600,1.097503,1.472000e-01
11.5900,1.096584,1.520000e-01
11.6400,1.096068,1.570000e-01
11.6900,1.094339,1.621000e-01
11.7500,1.092339,1.678000e-01
11.8000,1.090622,1.741000e-01
11.8600,1.089062,1.802000e-01
11.9100,1.086474,1.865000e-01
11.9400,1.086163,1.927000e-01
11.9900,1.087480,1.990000e-01
12.0500,1.087926,2.055000e-01
12.1100,1.087993,2.112000e-01
12.1600,1.086723,2.177000e-01
12.1900,1.087212,2.238000e-01
12.2500,1.089721,2.295000e-01
12.3000,1.090913,2.359000e-01
12.3600,1.091270,2.420000e-01
12.3900,1.092375,2.476000e-01
12.4500,1.095643,2.528000e-01
12.5000,1.098011,2.593000e-01
12.5600,1.099603,2.641000e-01
12.5900,1.100816,2.690000e-01
12.6500,1.104624,2.740000e-01
12.7100,1.107403,2.791000e-01
12.7600,1.108999,2.837000e-01
12.7900,1.110319,2.883000e-01
12.8500,1.114243,2.929000e-01
12.9100,1.116753,2.977000e-01
12.9400,1.118262,3.012000e-01
13.0000,1.122067,3.060000e-01
13.0600,1.124841,3.103000e-01
13.0900,1.126485,3.139000e-01
13.1500,1.130583,3.183000e-01
13.2100,1.133825,3.227000e-01
13.2400,1.135773,3.257000e-01
13.3000,1.139515,3.295000e-01
13.3400,1.141428,3.325000e-01
13.4000,1.145850,3.363000e-01
13.4600,1.149628,3.402000e-01
13.4900,1.151643,3.426000e-01
13.5500,1.156338,3.466000e-01
13.6100,1.160150,3.490000e-01
13.6500,1.161869,3.514000e-01
13.7100,1.165763,3.546000e-01
13.7400,1.167947,3.571000e-01
13.8000,1.172049,3.596000e-01
13.8400,1.174089,3.621000e-01
13.9000,1.178513,3.646000e-01
13.9600,1.182458,3.680000e-01
14.0000,1.184740,3.696000e-01
14.0600,1.189086,3.722000e-01
14.0900,1.191399,3.739000e-01
14.1600,1.195603,3.757000e-01
14.1900,1.197623,3.774000e-01
14.2600,1.201594,3.791000e-01
14.2900,1.203552,3.809000e-01
14.3500,1.207465,3.826000e-01
14.3900,1.209428,3.844000e-01
14.4500,1.213645,3.862000e-01
14.4900,1.215328,3.871000e-01
14.5500,1.218762,3.898000e-01
14.5900,1.220973,3.916000e-01
14.6600,1.225566,3.934000e-01
14.6900,1.227627,3.943000e-01
14.7600,1.231631,3.961000e-01
14.7900,1.233597,3.970000e-01
14.8600,1.237500,3.988000e-01
14.8900,1.239445,3.998000e-01
14.9600,1.243348,4.016000e-01
15.0000,1.245318,4.025000e-01
15.0700,1.249380,4.044000e-01
15.1000,1.251704,4.053000e-01
15.1400,1.253631,4.053000e-01
15.2100,1.256977,4.072000e-01
15.2400,1.258880,4.081000e-01
15.3100,1.263173,4.100000e-01
15.3500,1.265082,4.100000e-01
15.4200,1.268440,4.119000e-01
15.4500,1.270391,4.128000e-01
15.4900,1.272559,4.138000e-01
15.5600,1.276473,4.148000e-01
15.6000,1.278233,4.157000e-01
