# Complex refractive index of bare aluminium, n(lambda) + i k(lambda), 0.6-25.0 um.
#
# source: MODELLED, NOT MEASURED -- the Drude free-electron model
#   eps(w) = 1 - wp^2 / (w^2 + i Gamma w), with wp = 12.53 eV and Gamma = 0.0759 eV.
#   Free-carrier response is the right physics for a metal far below its plasma frequency, which
#   the whole infrared is; aluminium's interband structure sits in the ultraviolet. The two
#   parameters are chosen so the model reproduces the commonly quoted n = 25.3, k = 89.8 at
#   10 um, and both land inside the spread of published Drude fits for Al. Replace with a
#   measured table (Ordal et al. 1985, or Rakic et al. 1998) when one is obtainable; the loader
#   and every consumer are unchanged by the swap.
#
# Generated by scripts/generate_nk_tables.py on 2026-09-15 (roadmap M7.5).
# Check values from this model: n(4.0 um) = 4.77, k = 39.54; n(10.0 um) = 25.31,
#   k = 89.83. Normal-incidence emissivity at 10 um: 0.01156.
# Columns: wavelength in MICROMETRES, then n, then k.
wavelength_um,n,k
3.25794,3.20569,32.43252
3.28853,3.26468,32.72856
3.31942,3.32473,33.02714
3.35059,3.38586,33.32826
3.38206,3.44808,33.63196
3.41382,3.51142,33.93825
3.44588,3.57589,34.24714
3.47824,3.64150,34.55866
3.51091,3.70830,34.87282
3.54388,3.77628,35.18963
3.57716,3.84547,35.50912
3.61076,3.91589,35.83130
3.64467,3.98756,36.15619
3.67890,4.06051,36.48381
3.71345,4.13475,36.81418
3.74832,4.21030,37.14730
3.78352,4.28719,37.48320
3.81906,4.36544,37.82190
3.85492,4.44507,38.16341
3.89113,4.52610,38.50775
3.92767,4.60856,38.85494
3.96456,4.69247,39.20498
4.00179,4.77785,39.55791
4.03937,4.86473,39.91374
4.07731,4.95313,40.27247
4.11560,5.04307,40.63414
4.15425,5.13459,40.99875
4.19327,5.22770,41.36632
4.23265,5.32243,41.73687
4.27240,5.41881,42.11042
4.31252,5.51686,42.48697
4.35302,5.61662,42.86655
4.39390,5.71809,43.24917
4.43517,5.82132,43.63484
4.47682,5.92634,44.02359
4.51887,6.03316,44.41542
4.56130,6.14182,44.81035
4.60414,6.25234,45.20839
4.64738,6.36476,45.60957
4.69103,6.47910,46.01389
4.73508,6.59539,46.42137
4.77955,6.71366,46.83202
4.82444,6.83395,47.24586
4.86975,6.95628,47.66290
4.91548,7.08068,48.08314
4.96164,7.20718,48.50662
5.00824,7.33583,48.93333
5.05528,7.46664,49.36329
5.10275,7.59964,49.79651
5.15067,7.73488,50.23301
5.19905,7.87239,50.67279
5.24787,8.01219,51.11587
5.29716,8.15432,51.56225
5.34691,8.29882,52.01196
5.39712,8.44572,52.46499
5.44781,8.59504,52.92136
5.49897,8.74684,53.38108
5.55061,8.90113,53.84416
5.60274,9.05797,54.31060
5.65536,9.21737,54.78041
5.70847,9.37938,55.25361
5.76208,9.54404,55.73020
5.81620,9.71137,56.21019
5.87082,9.88142,56.69358
5.92596,10.05423,57.18038
5.98161,10.22982,57.67060
6.03778,10.40824,58.16424
6.09449,10.58953,58.66131
6.15172,10.77372,59.16181
6.20950,10.96084,59.66575
6.26781,11.15095,60.17312
6.32668,11.34407,60.68394
6.38609,11.54025,61.19821
6.44607,11.73952,61.71592
6.50661,11.94193,62.23709
6.56771,12.14750,62.76170
6.62939,12.35629,63.28977
6.69165,12.56833,63.82129
6.75450,12.78366,64.35626
6.81793,13.00231,64.89468
6.88196,13.22434,65.43655
6.94659,13.44978,65.98186
7.01183,13.67866,66.53062
7.07768,13.91104,67.08282
7.14415,14.14694,67.63846
