# Complex refractive index of glass (fused silica, as a proxy for soda-lime float glass), n(lambda) + i k(lambda), 0.6-25 um.
#
# source: D. Franta, D. Necas, I. Ohlidal, A. Giglia (2016), 'Optical characterization of SiO2 thin films using universal dispersion model over wide spectral range', Proc. SPIE 9890, 989014. doi:10.1117/12.2227580. Fused silica PLATE, 0.405 mm, room temperature -- a bulk sample rather than a thin film, which is why this dataset was chosen over the thin-film alternatives in the same database.
#   Retrieved 2026-09-15 from
#   https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/main/database/data/main/SiO2/nk/Franta.yml
#   (RefractiveIndex.INFO database, public domain / CC0 1.0), converted by
#   scripts/fetch_nk_tables.py and truncated to 0.6-25 um; values otherwise unmodified.
#   PROXY: fused silica, not soda-lime. No freely available soda-lime dataset spans 0.75-13.5 um. Both are silicate glasses and share the Si-O stretching resonance that dominates the LWIR; soda-lime's alkali and iron content changes the magnitude more than the angular shape, and the magnitude is taken from the material's authored per-band emissivity, not from this table (M7.5).
#
# Check values interpolated from this table: n(1.55 um) = 1.444309, k = 2.5545e-16;
#   n(10.0 um) = 2.526835, k = 0.082695. Normal-incidence Fresnel emissivity at 10.0 um: 0.81213.
# Columns: wavelength in MICROMETRES, then n, then k.
wavelength_um,n,k
0.83253,1.45301,2.95111e-141
0.834449,1.45298,2.08004e-140
0.836373,1.45295,1.45061e-139
0.838301,1.45292,1.00101e-138
0.840233,1.45289,6.83541e-138
0.84217,1.45286,4.61899e-137
0.844112,1.45283,3.08894e-136
0.846057,1.4528,2.04444e-135
0.848008,1.45277,1.33926e-134
0.849963,1.45273,8.68361e-134
0.851922,1.4527,5.57322e-133
0.853886,1.45267,3.54081e-132
0.855854,1.45264,2.22696e-131
0.857827,1.45261,1.38662e-130
0.859805,1.45258,8.54785e-130
0.861787,1.45255,5.21717e-129
0.863773,1.45252,3.15292e-128
0.865765,1.45249,1.88674e-127
0.86776,1.45246,1.11803e-126
0.869761,1.45243,6.56077e-126
0.871766,1.4524,3.81279e-125
0.873776,1.45238,2.1945e-124
0.87579,1.45235,1.25099e-123
0.877809,1.45232,7.06347e-123
0.879832,1.45229,3.95049e-122
0.88186,1.45226,2.18862e-121
0.883893,1.45223,1.20116e-120
0.885931,1.4522,6.53065e-120
0.887973,1.45217,3.51773e-119
0.89002,1.45214,1.87732e-118
0.892072,1.45211,9.92662e-118
0.894128,1.45208,5.20086e-117
0.89619,1.45205,2.70008e-116
0.898255,1.45202,1.38908e-115
0.900326,1.45199,7.08186e-115
0.902402,1.45196,3.57812e-114
0.904482,1.45193,1.79172e-113
0.906567,1.4519,8.89225e-113
0.908657,1.45187,4.37421e-112
0.910751,1.45184,2.13281e-111
0.912851,1.45182,1.03084e-110
0.914955,1.45179,4.93893e-110
0.917064,1.45176,2.34583e-109
0.919179,1.45173,1.10459e-108
0.921297,1.4517,5.15666e-108
0.923421,1.45167,2.38678e-107
0.92555,1.45164,1.09536e-106
0.927684,1.45161,4.9844e-106
0.929822,1.45158,2.24908e-105
0.931966,1.45155,1.00635e-104
0.934114,1.45152,4.46546e-104
0.936267,1.45149,1.96504e-103
0.938426,1.45147,8.57596e-103
0.940589,1.45144,3.7121e-102
0.942757,1.45141,1.59368e-101
0.94493,1.45138,6.78642e-101
0.947109,1.45135,2.86655e-100
0.949292,1.45132,1.20109e-99
0.95148,1.45129,4.99233e-99
0.953674,1.45126,2.05856e-98
0.955872,1.45123,8.42116e-98
0.958076,1.45121,3.41779e-97
0.960284,1.45118,1.37627e-96
0.962498,1.45115,5.4987e-96
0.964717,1.45112,2.17989e-95
0.966941,1.45109,8.57518e-95
0.96917,1.45106,3.34736e-94
0.971404,1.45103,1.29667e-93
0.973643,1.451,4.98473e-93
0.975888,1.45097,1.90176e-92
0.978137,1.45095,7.20088e-92
0.980392,1.45092,2.70614e-91
0.982652,1.45089,1.00941e-90
0.984918,1.45086,3.73722e-90
0.987188,1.45083,1.37346e-89
0.989464,1.4508,5.01049e-89
0.991745,1.45077,1.81452e-88
0.994031,1.45074,6.52338e-88
0.996322,1.45071,2.32827e-87
0.998619,1.45069,8.25003e-87
1.00092,1.45066,2.9024e-86
1.00323,1.45063,1.0138e-85
1.00554,1.4506,3.5161e-85
1.00786,1.45057,1.21086e-84
1.01018,1.45054,4.14066e-84
1.01251,1.45051,1.40605e-83
1.01485,1.45048,4.74138e-83
1.01718,1.45045,1.5878e-82
1.01953,1.45043,5.28068e-82
1.02188,1.4504,1.74422e-81
1.02424,1.45037,5.72198e-81
1.0266,1.45034,1.8644e-80
1.02896,1.45031,6.03384e-80
1.03134,1.45028,1.93966e-79
1.03371,1.45025,6.19372e-79
1.0361,1.45022,1.96464e-78
1.03848,1.45019,6.19067e-78
1.04088,1.45016,1.93788e-77
1.04328,1.45014,6.02654e-77
1.04568,1.45011,1.86197e-76
1.04809,1.45008,5.71556e-76
1.05051,1.45005,1.74316e-75
1.05293,1.45002,5.28231e-75
1.05536,1.44999,1.59049e-74
1.05779,1.44996,4.75857e-74
1.06023,1.44993,1.41472e-73
1.06267,1.4499,4.17955e-73
1.06512,1.44987,1.22706e-72
1.06758,1.44984,3.58009e-72
1.07004,1.44981,1.03807e-71
1.07251,1.44979,2.99144e-71
1.07498,1.44976,8.56773e-71
1.07746,1.44973,2.43892e-70
1.07994,1.4497,6.90062e-70
1.08243,1.44967,1.94067e-69
1.08493,1.44964,5.42504e-69
1.08743,1.44961,1.50749e-68
1.08993,1.44958,4.16405e-68
1.09245,1.44955,1.14342e-67
1.09496,1.44952,3.12128e-67
1.09749,1.44949,8.47059e-67
1.10002,1.44946,2.28538e-66
1.10255,1.44943,6.13031e-66
1.1051,1.4494,1.63493e-65
1.10764,1.44937,4.33538e-65
1.1102,1.44934,1.14334e-64
1.11276,1.44931,3.00438e-64
1.11532,1.44928,7.9917e-64
1.11789,1.44925,2.41981e-63
1.12047,1.44922,1.35024e-62
1.12305,1.44919,1.79852e-61
1.12564,1.44916,3.24178e-60
1.12824,1.44913,5.9358e-59
1.13084,1.4491,1.05079e-57
1.13344,1.44907,1.78672e-56
1.13606,1.44904,2.91613e-55
1.13868,1.44901,4.56902e-54
1.1413,1.44898,6.87395e-53
1.14393,1.44895,9.93266e-52
1.14657,1.44892,1.37882e-50
1.14921,1.44889,1.83925e-49
1.15186,1.44886,2.35815e-48
1.15452,1.44883,2.90675e-47
1.15718,1.4488,3.44551e-46
