# Clear-sky DIRECT-NORMAL solar spectral irradiance at the ground, air mass 1.5. Columns:
# wavelength in MICROMETRES, spectral irradiance in W m-2 um-1.
#
# STATUS: MODELLED, NOT MEASURED. Not ASTM G-173. The extraterrestrial input is the companion
# toa_planck_5778k.csv; the atmosphere is a clear-sky direct-beam band model --
#   * Rayleigh scattering, Bird & Riordan (1984) analytic optical depth
#   * Angstrom aerosol, beta = 0.03812, alpha = 1.14 (AOD 0.084 at 500 nm)
#   * ozone Chappuis band, 0.34 atm-cm
#   * the major water-vapour bands and the O2 A-band / CO2 bands as Gaussians in ln(lambda)
# Band CENTRES are spectroscopy. Band STRENGTHS carry one common water multiplier, fitted here to
# 0.093663 so that the AM1.5 integral is the 900.1 W m-2 that defines G-173's direct-normal
# reference. The integral is therefore NOT an independent check of this file; the checks that are
# independent are on shape -- 1.38 um and 1.87 um come out opaque, which is why a SWIR camera is
# blind there, and that was not fitted.
#
# Total: 900.10 W m-2. Transmittance at 1.38 um 0.0248, at 1.87 um 0.0082,
# at 1.06 um 0.9241, at 1.55 um 0.9441.
# Generated by scripts/generate_solar_spectra.py on 2026-09-15 (roadmap M11.3).
wavelength_um,irradiance_w_m2_um
0.6980,1.250270e+03
0.7000,1.244166e+03
0.7020,1.236364e+03
0.7040,1.226422e+03
0.7060,1.214076e+03
0.7080,1.199401e+03
0.7100,1.182949e+03
0.7120,1.165778e+03
0.7140,1.149334e+03
0.7160,1.135208e+03
0.7180,1.124820e+03
0.7200,1.119117e+03
0.7220,1.118381e+03
0.7240,1.122176e+03
0.7260,1.129453e+03
0.7280,1.138781e+03
0.7300,1.148641e+03
0.7320,1.157708e+03
0.7340,1.165050e+03
0.7360,1.170200e+03
0.7380,1.173109e+03
0.7400,1.174020e+03
0.7420,1.173329e+03
0.7440,1.171442e+03
0.7460,1.168554e+03
0.7480,1.163622e+03
0.7500,1.149748e+03
0.7520,1.101580e+03
0.7540,9.665557e+02
0.7560,7.172389e+02
0.7580,4.443886e+02
0.7600,2.716014e+02
0.7620,2.187694e+02
0.7640,2.694589e+02
0.7660,4.359126e+02
0.7680,6.960787e+02
0.7700,9.324780e+02
0.7720,1.059407e+03
0.7740,1.101564e+03
0.7760,1.109012e+03
0.7780,1.107113e+03
0.7800,1.103395e+03
0.7820,1.099398e+03
0.7840,1.095342e+03
0.7860,1.091230e+03
0.7880,1.087030e+03
0.7900,1.082684e+03
0.7920,1.078112e+03
0.7940,1.073199e+03
0.7960,1.067800e+03
0.7980,1.061744e+03
0.8000,1.054854e+03
0.8020,1.046972e+03
0.8040,1.037998e+03
0.8060,1.027932e+03
0.8080,1.016913e+03
0.8100,1.005233e+03
0.8120,9.933343e+02
0.8140,9.817704e+02
0.8160,9.711437e+02
0.8180,9.620255e+02
0.8200,9.548761e+02
0.8220,9.499804e+02
0.8240,9.474076e+02
0.8260,9.470048e+02
0.8280,9.484220e+02
0.8300,9.511653e+02
0.8320,9.546673e+02
0.8340,9.583629e+02
0.8360,9.617564e+02
0.8380,9.644697e+02
0.8400,9.662648e+02
0.8420,9.670412e+02
0.8440,9.668135e+02
0.8460,9.656783e+02
0.8480,9.637781e+02
0.8500,9.612712e+02
0.8520,9.583085e+02
0.8540,9.550205e+02
0.8560,9.515112e+02
0.8580,9.478583e+02
0.8600,9.441167e+02
0.8620,9.403224e+02
0.8640,9.364975e+02
0.8660,9.326539e+02
0.8680,9.287959e+02
0.8700,9.249221e+02
0.8720,9.210262e+02
0.8740,9.170971e+02
0.8760,9.131183e+02
0.8780,9.090672e+02
0.8800,9.049141e+02
0.8820,9.006204e+02
0.8840,8.961381e+02
0.8860,8.914079e+02
0.8880,8.863588e+02
0.8900,8.809082e+02
0.8920,8.749623e+02
0.8940,8.684182e+02
0.8960,8.611672e+02
0.8980,8.530996e+02
0.9000,8.441112e+02
0.9020,8.341111e+02
0.9040,8.230300e+02
0.9060,8.108299e+02
0.9080,7.975123e+02
0.9100,7.831256e+02
0.9120,7.677697e+02
0.9140,7.515975e+02
0.9160,7.348125e+02
0.9180,7.176632e+02
0.9200,7.004331e+02
0.9220,6.834288e+02
0.9240,6.669659e+02
0.9260,6.513555e+02
0.9280,6.368909e+02
0.9300,6.238361e+02
0.9320,6.124174e+02
0.9340,6.028168e+02
0.9360,5.951683e+02
0.9380,5.895558e+02
0.9400,5.860136e+02
0.9420,5.845264e+02
0.9440,5.850316e+02
0.9460,5.874215e+02
0.9480,5.915464e+02
0.9500,5.972182e+02
0.9520,6.042159e+02
0.9540,6.122915e+02
0.9560,6.211780e+02
0.9580,6.305980e+02
0.9600,6.402739e+02
0.9620,6.499382e+02
0.9640,6.593430e+02
0.9660,6.682692e+02
0.9680,6.765335e+02
0.9700,6.839924e+02
0.9720,6.905449e+02
0.9740,6.961315e+02
0.9760,7.007312e+02
0.9780,7.043569e+02
0.9800,7.070495e+02
0.9820,7.088711e+02
0.9840,7.098986e+02
0.9860,7.102173e+02
0.9880,7.099161e+02
0.9900,7.090825e+02
0.9920,7.078001e+02
0.9940,7.061454e+02
0.9960,7.041872e+02
0.9980,7.019858e+02
1.0000,6.995925e+02
1.0020,6.970505e+02
1.0040,6.943954e+02
1.0060,6.916560e+02
1.0080,6.888553e+02
1.0100,6.860111e+02
1.0120,6.831372e+02
1.0140,6.802439e+02
1.0160,6.773387e+02
1.0180,6.744269e+02
1.0200,6.715117e+02
1.0220,6.685952e+02
1.0240,6.656777e+02
1.0260,6.627587e+02
1.0280,6.598367e+02
1.0300,6.569090e+02
1.0320,6.539719e+02
1.0340,6.510208e+02
1.0360,6.480496e+02
1.0380,6.450512e+02
1.0400,6.420170e+02
1.0420,6.389370e+02
1.0440,6.357992e+02
1.0460,6.325900e+02
1.0480,6.292939e+02
1.0500,6.258934e+02
1.0520,6.223687e+02
1.0540,6.186984e+02
1.0560,6.148587e+02
1.0580,6.108244e+02
1.0600,6.065687e+02
1.0620,6.020635e+02
1.0640,5.972801e+02
1.0660,5.921900e+02
1.0680,5.867650e+02
1.0700,5.809787e+02
1.0720,5.748070e+02
1.0740,5.682294e+02
1.0760,5.612295e+02
1.0780,5.537969e+02
1.0800,5.459274e+02
1.0820,5.376241e+02
1.0840,5.288984e+02
1.0860,5.197703e+02
1.0880,5.102686e+02
1.0900,5.004312e+02
1.0920,4.903045e+02
1.0940,4.799429e+02
1.0960,4.694080e+02
1.0980,4.587674e+02
1.1000,4.480932e+02
1.1020,4.374606e+02
1.1040,4.269466e+02
1.1060,4.166276e+02
1.1080,4.065789e+02
1.1100,3.968724e+02
1.1120,3.875758e+02
1.1140,3.787516e+02
1.1160,3.704563e+02
1.1180,3.627395e+02
1.1200,3.556442e+02
1.1220,3.492059e+02
1.1240,3.434535e+02
1.1260,3.384087e+02
1.1280,3.340869e+02
1.1300,3.304969e+02
1.1320,3.276417e+02
1.1340,3.255189e+02
1.1360,3.241205e+02
1.1380,3.234335e+02
1.1400,3.234401e+02
1.1420,3.241177e+02
1.1440,3.254391e+02
1.1460,3.273727e+02
1.1480,3.298824e+02
1.1500,3.329277e+02
1.1520,3.364641e+02
1.1540,3.404433e+02
1.1560,3.448130e+02
1.1580,3.495183e+02
1.1600,3.545013e+02
1.1620,3.597024e+02
1.1640,3.650606e+02
1.1660,3.705146e+02
1.1680,3.760040e+02
1.1700,3.814694e+02
1.1720,3.868543e+02
1.1740,3.921054e+02
1.1760,3.971735e+02
1.1780,4.020143e+02
1.1800,4.065890e+02
1.1820,4.108647e+02
1.1840,4.148144e+02
1.1860,4.184171e+02
1.1880,4.216582e+02
1.1900,4.245284e+02
1.1920,4.270240e+02
1.1940,4.291458e+02
1.1960,4.308989e+02
1.1980,4.322920e+02
1.2000,4.333364e+02
1.2020,4.340458e+02
1.2040,4.344351e+02
1.2060,4.345200e+02
1.2080,4.343166e+02
1.2100,4.338406e+02
1.2120,4.331069e+02
1.2140,4.321292e+02
1.2160,4.309196e+02
1.2180,4.294886e+02
1.2200,4.278447e+02
1.2220,4.259942e+02
1.2240,4.239413e+02
1.2260,4.216877e+02
1.2280,4.192332e+02
1.2300,4.165750e+02
1.2320,4.137085e+02
1.2340,4.106264e+02
1.2360,4.073190e+02
1.2380,4.037725e+02
1.2400,3.999663e+02
1.2420,3.958651e+02
1.2440,3.914066e+02
1.2460,3.864786e+02
1.2480,3.808905e+02
1.2500,3.743467e+02
1.2520,3.664439e+02
1.2540,3.567229e+02
1.2560,3.448003e+02
1.2580,3.305663e+02
1.2600,3.143787e+02
1.2620,2.971367e+02
1.2640,2.801509e+02
1.2660,2.648336e+02
1.2680,2.523389e+02
1.2700,2.432923e+02
1.2720,2.376790e+02
1.2740,2.348784e+02
1.2760,2.338155e+02
1.2780,2.332045e+02
1.2800,2.318424e+02
1.2820,2.288704e+02
1.2840,2.239086e+02
1.2860,2.170223e+02
1.2880,2.085683e+02
1.2900,1.990124e+02
1.2920,1.887934e+02
1.2940,1.782573e+02
1.2960,1.676490e+02
1.2980,1.571314e+02
1.3000,1.468121e+02
1.3020,1.367650e+02
1.3040,1.270437e+02
1.3060,1.176902e+02
1.3080,1.087378e+02
1.3100,1.002129e+02
1.3120,9.213525e+01
1.3140,8.451876e+01
1.3160,7.737121e+01
1.3180,7.069475e+01
1.3200,6.448634e+01
1.3220,5.873818e+01
1.3240,5.343830e+01
1.3260,4.857125e+01
1.3280,4.411864e+01
1.3300,4.005987e+01
1.3320,3.637271e+01
1.3340,3.303387e+01
1.3360,3.001958e+01
1.3380,2.730596e+01
1.3400,2.486953e+01
1.3420,2.268744e+01
1.3440,2.073779e+01
1.3460,1.899981e+01
1.3480,1.745400e+01
1.3500,1.608223e+01
1.3520,1.486777e+01
1.3540,1.379533e+01
1.3560,1.285102e+01
1.3580,1.202232e+01
1.3600,1.129801e+01
1.3620,1.066816e+01
1.3640,1.012396e+01
1.3660,9.657757e+00
1.3680,9.262891e+00
1.3700,8.933675e+00
1.3720,8.665312e+00
1.3740,8.453836e+00
1.3760,8.296056e+00
1.3780,8.189511e+00
1.3800,8.132431e+00
1.3820,8.123703e+00
1.3840,8.162844e+00
1.3860,8.249987e+00
1.3880,8.385867e+00
1.3900,8.571812e+00
1.3920,8.809750e+00
1.3940,9.102202e+00
1.3960,9.452299e+00
1.3980,9.863785e+00
1.4000,1.034103e+01
1.4020,1.088903e+01
1.4040,1.151343e+01
1.4060,1.222052e+01
1.4080,1.301722e+01
1.4100,1.391109e+01
1.4120,1.491028e+01
1.4140,1.602351e+01
1.4160,1.726001e+01
1.4180,1.862946e+01
1.4200,2.014188e+01
1.4220,2.180751e+01
1.4240,2.363670e+01
1.4260,2.563973e+01
1.4280,2.782662e+01
1.4300,3.020692e+01
1.4320,3.278952e+01
1.4340,3.558236e+01
1.4360,3.859223e+01
1.4380,4.182447e+01
1.4400,4.528279e+01
1.4420,4.896895e+01
1.4440,5.288264e+01
1.4460,5.702123e+01
1.4480,6.137966e+01
1.4500,6.595036e+01
1.4520,7.072316e+01
1.4540,7.568534e+01
1.4560,8.082169e+01
1.4580,8.611466e+01
1.4600,9.154451e+01
1.4620,9.708959e+01
1.4640,1.027266e+02
1.4660,1.084311e+02
1.4680,1.141774e+02
1.4700,1.199395e+02
1.4720,1.256911e+02
1.4740,1.314064e+02
1.4760,1.370597e+02
1.4780,1.426267e+02
1.4800,1.480842e+02
1.4820,1.534105e+02
1.4840,1.585856e+02
1.4860,1.635917e+02
1.4880,1.684130e+02
1.4900,1.730359e+02
1.4920,1.774490e+02
1.4940,1.816433e+02
1.4960,1.856118e+02
1.4980,1.893500e+02
1.5000,1.928550e+02
1.5020,1.961261e+02
1.5040,1.991642e+02
1.5060,2.019721e+02
1.5080,2.045536e+02
1.5100,2.069140e+02
1.5120,2.090596e+02
1.5140,2.109977e+02
1.5160,2.127362e+02
1.5180,2.142837e+02
1.5200,2.156489e+02
1.5220,2.168413e+02
1.5240,2.178702e+02
1.5260,2.187450e+02
1.5280,2.194752e+02
1.5300,2.200701e+02
1.5320,2.205387e+02
1.5340,2.208898e+02
1.5360,2.211321e+02
1.5380,2.212736e+02
1.5400,2.213222e+02
1.5420,2.212853e+02
1.5440,2.211700e+02
1.5460,2.209828e+02
